,fid,lat,long,iso3,2015
94,10657,60.5,37.5,RUS10657.0,0.2954297638767348
95,10658,60.5,38.5,RUS10658.0,0.0
96,10659,60.5,39.5,RUS10659.0,0.0
97,10660,60.5,40.5,RUS10660.0,0.0
98,10661,60.5,41.5,RUS10661.0,3.165765710416409
99,10662,60.5,42.5,RUS10662.0,2.3296473287297004
100,10663,60.5,43.5,RUS10663.0,0.0
101,10664,60.5,44.5,RUS10664.0,0.0
102,10665,60.5,45.5,RUS10665.0,0.2067322423137785
103,10666,60.5,46.5,RUS10666.0,1.6228239799555284
104,10667,60.5,47.5,RUS10667.0,17.457924306022136
105,10668,60.5,48.5,RUS10668.0,0.37772095220166507
106,10669,60.5,49.5,RUS10669.0,0.20494358882262884
107,10670,60.5,50.5,RUS10670.0,0.20713920200717773
108,10671,60.5,51.5,RUS10671.0,0.16008612842440173
109,10672,60.5,52.5,RUS10672.0,0.07585531768980272
110,10673,60.5,53.5,RUS10673.0,0.056285151143517356
111,10674,60.5,54.5,RUS10674.0,0.05144429995187373
112,10675,60.5,55.5,RUS10675.0,0.0638992357296958
113,10676,60.5,56.5,RUS10676.0,0.07765709891299753
114,10677,60.5,57.5,RUS10677.0,0.09507103547086942
115,10680,60.5,60.5,RUS10680.0,0.07229770230557107
116,10684,60.5,64.5,RUS10684.0,0.059206071523559944
117,10686,60.5,66.5,RUS10686.0,0.04602582855024416
118,10687,60.5,67.5,RUS10687.0,0.040978215578889664
119,11007,59.5,27.5,RUS11007.0,0.07889438765825153
120,11008,59.5,28.5,RUS11008.0,0.08937688169629202
121,11009,59.5,29.5,RUS11009.0,0.0654187707139202
122,11010,59.5,30.5,RUS11010.0,0.04700056265459546
123,11011,59.5,31.5,RUS11011.0,0.03182162247740783
124,11012,59.5,32.5,RUS11012.0,0.020741816631313685
125,11013,59.5,33.5,RUS11013.0,0.02908449034599713
126,11014,59.5,34.5,RUS11014.0,0.06377780420827829
127,11015,59.5,35.5,RUS11015.0,0.06976076808784869
128,11016,59.5,36.5,RUS11016.0,0.07222221784631154
129,11017,59.5,37.5,RUS11017.0,0.047663513122874784
130,11018,59.5,38.5,RUS11018.0,0.25306657256708337
131,11019,59.5,39.5,RUS11019.0,0.04460803348936956
132,11020,59.5,40.5,RUS11020.0,0.343086713133587
