,fid,lat,long,UN_cur,NCP_cur,population
0,8845,65.5,25.5,0.0,0.3333332935969035,125575
1,9204,64.5,24.5,479.2079305068127,0.8590453863143921,69314
2,9205,64.5,25.5,23750.552669916953,0.5225115219751993,0
3,9206,64.5,26.5,630.529173350626,0.8966132799784342,27423
4,9207,64.5,27.5,0.0,0.9999999602635702,45897
5,9208,64.5,28.5,0.0010423486882607045,0.3297658363978068,17736
6,9561,63.5,21.5,1390.5882005246128,0.7317838271458944,128884
7,9562,63.5,22.5,20726.513456437908,0.6008152763048807,0
8,9563,63.5,23.5,10276.934761863266,0.7182073791821798,0
9,9564,63.5,24.5,9584.241289637588,0.5892054041226705,0
10,9565,63.5,25.5,9160.373452767106,0.6947290897369385,0
11,9566,63.5,26.5,124.40371509815161,0.986395537853241,0
12,9567,63.5,27.5,25.4902351480324,0.9968998630841573,151840
13,9568,63.5,28.5,0.20578704075996782,0.9945438305536906,58996
14,9569,63.5,29.5,2.1166370514621926,0.9869832396507263,35336
15,9570,63.5,30.5,0.0,0.9999999602635702,42181
16,9921,62.5,21.5,0.05656963318485817,0.9973669250806173,8034
17,9922,62.5,22.5,0.0,0.3333333333333333,150885
18,9923,62.5,23.5,14419.867463447576,0.6565234065055847,0
19,9924,62.5,24.5,44336.21356066678,0.5980489651362101,0
20,9925,62.5,25.5,4451.615538916763,0.7952122886975607,172961
21,9926,62.5,26.5,0.17267977968243167,0.9769361615180969,92344
22,9927,62.5,27.5,0.0741556313482403,0.9947511951128641,203818
23,9928,62.5,28.5,0.00428016401182956,0.9989834626515707,55669
24,9929,62.5,29.5,0.0,1.00000003973643,84373
25,9930,62.5,30.5,0.0006897034884592512,0.999894360701243,70024
26,9931,62.5,31.5,246.21508014652218,0.9607712229092916,60136
27,10281,61.5,21.5,0.0,1.00000003973643,89609
28,10282,61.5,22.5,0.0,0.9999999205271403,14286
29,10283,61.5,23.5,0.0,0.0,9719
30,10284,61.5,24.5,0.0,0.0,27198
31,10285,61.5,25.5,1.3511910507570912,0.9954211314519247,6466
32,10286,61.5,26.5,0.0,0.0,10079
33,10287,61.5,27.5,0.0,0.9999999403953552,11061
34,10288,61.5,28.5,0.0,0.9999999602635702,12117
35,10289,61.5,29.5,0.0,0.0,20200
36,10290,61.5,30.5,0.0,0.0,14950
37,10641,60.5,21.5,1.1153152104935249,0.9879897038141886,8485
38,10642,60.5,22.5,1.3764129766759752,0.9404908219973246,9262
39,10643,60.5,23.5,0.0,1.00000003973643,6257
40,10644,60.5,24.5,0.0,0.9999999602635702,5863
41,10645,60.5,25.5,0.0,0.999999980131785,279967
42,10646,60.5,26.5,0.0,0.3333333333333333,12345
43,10647,60.5,27.5,0.0,1.00000003973643,52745
44,10648,60.5,28.5,0.0,0.0,55299
45,11003,59.5,23.5,0.0016652339957788154,0.33221354087193805,83001
46,11004,59.5,24.5,0.2175058282009321,0.3090360164642334,110771
47,9582,63.5,42.5,23954.609926057732,0.6088880697886149,156662
48,9932,62.5,32.5,26063.467897370716,0.7183249195416769,0
49,9933,62.5,33.5,8186.540100217165,0.8279369274775187,303016
50,9935,62.5,35.5,1959.2842720983042,0.8344677289326986,209226
51,9936,62.5,36.5,1350.6155756101004,0.8852126399676005,223587
52,9938,62.5,38.5,30.199370644227468,0.9872905015945435,125183
53,9939,62.5,39.5,0.0,0.9999999602635702,89269
54,9940,62.5,40.5,663.6841402986032,0.9098449945449829,158822
55,9941,62.5,41.5,0.0,1.0,102981
56,9942,62.5,42.5,0.005152971205516077,0.9999906818072001,30268
57,9943,62.5,43.5,0.0,1.0000000596046448,9414
58,9944,62.5,44.5,0.0,0.9999999602635702,19398
59,9945,62.5,45.5,0.0,1.0,29566
60,9950,62.5,50.5,0.0,1.0000000794728596,26906
61,10291,61.5,31.5,0.006104816088201549,0.9465974768002828,13275
62,10292,61.5,32.5,0.0,1.00000003973643,10035
63,10293,61.5,33.5,0.0,0.0,12488
64,10294,61.5,34.5,0.0,1.0000000794728596,11771
65,10295,61.5,35.5,0.0,1.0000000794728596,15859
66,10296,61.5,36.5,0.0,1.00000003973643,19497
67,10297,61.5,37.5,0.0,1.00000003973643,28212
68,10298,61.5,38.5,0.0,1.0000000794728596,29664
69,10299,61.5,39.5,0.0,0.999999980131785,17741
70,10300,61.5,40.5,0.0,0.999999980131785,15679
71,10301,61.5,41.5,0.0,1.0,25676
72,10302,61.5,42.5,0.0003701941055013999,0.9999680916468302,106153
73,10303,61.5,43.5,0.0,1.00000003973643,61660
74,10304,61.5,44.5,0.0,0.9999999205271403,12722
75,10305,61.5,45.5,0.0,1.00000003973643,12652
76,10306,61.5,46.5,0.0,1.00000003973643,16062
77,10307,61.5,47.5,0.0,1.00000003973643,8869
78,10308,61.5,48.5,0.0,0.0,10662
79,10309,61.5,49.5,0.0,1.0000000794728596,10969
80,10310,61.5,50.5,0.0,0.9999999602635702,10409
81,10311,61.5,51.5,0.0,0.0,17955
82,10312,61.5,52.5,0.0,1.0,34921
83,10313,61.5,53.5,0.0,0.3333333333333333,1251
84,10314,61.5,54.5,11.688675604865237,0.9342329303423563,19836
85,10325,61.5,65.5,25.666705164287247,0.9882607261339823,468047
86,10649,60.5,29.5,6276.455296669231,0.8065099120140076,1220250
87,10650,60.5,30.5,48717.984050944586,0.636711061000824,231410
88,10651,60.5,31.5,9653.245138201504,0.5398109157880148,67704
89,10652,60.5,32.5,0.0,0.0,46008
90,10653,60.5,33.5,0.0,0.0,42072
91,10654,60.5,34.5,0.0,0.0,175179
92,10655,60.5,35.5,0.14614584704475397,0.9941719571749369,163463
93,10656,60.5,36.5,6019.477914569353,0.6806895136833191,320515
94,10657,60.5,37.5,2837.8437251720247,0.8222651282946268,90017
95,10658,60.5,38.5,9901.313893376826,0.6255404154459635,0
96,10659,60.5,39.5,57215.5569312245,0.6844862898190817,0
97,10660,60.5,40.5,51147.34257491526,0.6887385845184326,0
98,10661,60.5,41.5,2270.768449293609,0.7081598043441772,964604
99,10662,60.5,42.5,2426.0498208504673,0.8193273146947225,709840
100,10663,60.5,43.5,5079.989736235403,0.8503355979919434,0
101,10664,60.5,44.5,899.6968389535144,0.9503861665725708,0
102,10665,60.5,45.5,0.0037920695290285557,0.999921719233195,62991
103,10666,60.5,46.5,0.67924023028427,0.9872282942136129,494472
104,10667,60.5,47.5,34.77176921595937,0.7661630312601725,5319403
105,10668,60.5,48.5,0.0,0.9999999602635702,115091
106,10669,60.5,49.5,0.37209644396654573,0.9980172316233317,62446
107,10670,60.5,50.5,0.0,0.999999980131785,63115
108,10671,60.5,51.5,0.0,1.0000000794728596,48778
109,10672,60.5,52.5,0.0,1.00000003973643,23113
110,10673,60.5,53.5,0.0,1.0000000794728596,17150
111,10674,60.5,54.5,4.812284788539633,0.9917367696762085,15675
112,10675,60.5,55.5,0.0,1.0000000198682149,19470
113,10676,60.5,56.5,0.0,1.0000000198682149,23662
114,10677,60.5,57.5,0.0,0.9999999205271403,28968
115,10680,60.5,60.5,0.0,0.9999999403953552,22029
116,10684,60.5,64.5,0.0,1.00000003973643,18040
117,10686,60.5,66.5,0.0,0.9999999403953552,14024
118,10687,60.5,67.5,0.0,0.999999980131785,12486
119,11007,59.5,27.5,0.0,1.0,24039
120,11008,59.5,28.5,0.0,1.0000000198682149,27233
121,11009,59.5,29.5,0.0,1.0000000794728596,19933
122,11010,59.5,30.5,0.0,1.0,14321
123,11011,59.5,31.5,0.0,1.0000000794728596,9696
124,11012,59.5,32.5,0.0,0.999999980131785,6320
125,11013,59.5,33.5,0.0,1.0,8862
126,11014,59.5,34.5,0.0,0.9999999205271403,19433
127,11015,59.5,35.5,0.0,1.0,21256
128,11016,59.5,36.5,0.0,1.00000003973643,22006
129,11017,59.5,37.5,0.0,0.999999980131785,14523
