,fid,long,lat,iso3,2015
98,10661,60.5,41.5,RUS10661.0,70.81598043441772
99,10662,60.5,42.5,RUS10662.0,81.93273146947226
100,10663,60.5,43.5,RUS10663.0,85.03355979919434
101,10664,60.5,44.5,RUS10664.0,95.03861665725708
102,10665,60.5,45.5,RUS10665.0,99.99217192331949
103,10666,60.5,46.5,RUS10666.0,98.7228294213613
104,10667,60.5,47.5,RUS10667.0,76.61630312601724
105,10668,60.5,48.5,RUS10668.0,99.99999602635702
106,10669,60.5,49.5,RUS10669.0,99.80172316233316
107,10670,60.5,50.5,RUS10670.0,99.9999980131785
108,10671,60.5,51.5,RUS10671.0,100.00000794728597
109,10672,60.5,52.5,RUS10672.0,100.00000397364299
110,10673,60.5,53.5,RUS10673.0,100.00000794728597
111,10674,60.5,54.5,RUS10674.0,99.17367696762085
112,10675,60.5,55.5,RUS10675.0,100.00000198682149
113,10676,60.5,56.5,RUS10676.0,100.00000198682149
114,10677,60.5,57.5,RUS10677.0,99.99999205271402
115,10680,60.5,60.5,RUS10680.0,99.99999403953552
116,10684,60.5,64.5,RUS10684.0,100.00000397364299
117,10686,60.5,66.5,RUS10686.0,99.99999403953552
118,10687,60.5,67.5,RUS10687.0,99.9999980131785
119,11007,59.5,27.5,RUS11007.0,100.0
120,11008,59.5,28.5,RUS11008.0,100.00000198682149
121,11009,59.5,29.5,RUS11009.0,100.00000794728597
122,11010,59.5,30.5,RUS11010.0,100.0
123,11011,59.5,31.5,RUS11011.0,100.00000794728597
124,11012,59.5,32.5,RUS11012.0,99.9999980131785
125,11013,59.5,33.5,RUS11013.0,100.0
126,11014,59.5,34.5,RUS11014.0,99.99999205271402
127,11015,59.5,35.5,RUS11015.0,100.0
128,11016,59.5,36.5,RUS11016.0,100.00000397364299
129,11017,59.5,37.5,RUS11017.0,99.9999980131785
130,11018,59.5,38.5,RUS11018.0,100.0
131,11019,59.5,39.5,RUS11019.0,99.9999980131785
132,11020,59.5,40.5,RUS11020.0,100.0
133,11021,59.5,41.5,RUS11021.0,0.0
134,11022,59.5,42.5,RUS11022.0,0.0
135,11023,59.5,43.5,RUS11023.0,0.0
136,11024,59.5,44.5,RUS11024.0,33.33332935969035
137,11025,59.5,45.5,RUS11025.0,57.03020294507345
138,11026,59.5,46.5,RUS11026.0,10.077402740716934
139,11027,59.5,47.5,RUS11027.0,18.791782359282173
